มัธยมศึกษาปีที่ (ปีการศึกษา 2563 - 2564),หอพัก,ในวันที่นอนที่หอพัก นักเรียนเข้านอนเมื่อเวลาประมาณเท่าไหร่ (หากเครื่องของท่านใช้ระบบเวลาไทย 00:00 คือเที่ยงคืน หากใช้ระบบที่แยก AM และ PM 12:00 AM คือเที่ยงคืน ),ในวันที่นอนที่หอพัก นักเรียนตื่นเมื่อเวลาประมาณเท่าไหร่,ในวันศุกร์-เสาร์ ระหว่างเปิดเทอม เข้านอนเมื่อเวลาประมาณเท่าไหร่,ในวันศุกร์-เสาร์ ระหว่างเปิดเทอม ตื่นเมื่อเวลาประมาณเท่าไหร่,ในช่วงปิดเทอม เข้านอนเมื่อเวลาประมาณเท่าไหร่,ในช่วงปิดเทอม ตื่นเมื่อเวลาประมาณเท่าไหร่,อยากให้เริ่มเรียนเมื่อไหร่,อยากให้หอพักปลุกเมื่อไหร่,Hours Slept School Days,Hours Slept Weekends,Hours Slept Break,นักเรียนใช้เวลาในการเตรียมตัวลงหอประมาณกี่นาที,นักเรียนใช้เวลาในการรับประทานอาหารประมาณกี่นาที,คุณภาพการนอนเทียบกับที่บ้าน,นักเรียนรู้สึกง่วงในคาบเรียนส่วนใหญ่มากขนาดไหน  ,นักเรียนนอนหลับในคาบเรียนกี่คาบ,นักเรียนสามารถเรียนรู้ได้ขนาดไหน,นักเรียนรู้สึกเหนื่อยกับกิจกรรมหลังเลิกเรียนขนาดไหน เช่น การบ้าน โครงงาน กิจกรรมรุ่น จัดงานโรงเรียน,จงเรียงลำดับปัจจัยที่ส่งผลต่อการนอนน้อย [1],จงเรียงลำดับปัจจัยที่ส่งผลต่อการนอนน้อย [2],จงเรียงลำดับปัจจัยที่ส่งผลต่อการนอนน้อย [3],จงเรียงลำดับปัจจัยที่ส่งผลต่อการนอนน้อย [4],จงเรียงลำดับปัจจัยที่ส่งผลต่อการนอนน้อย [5]
1,โกเมน,0:00,6:30,23:00,11:00,3:00,12:00,10:00,8:00,6.500,12.000,9.000,15-20 นาที,25-30 นาที,2,4,4,3,2,เวลาตื่น,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,โกเมน,23:00,5:30,0:00,8:00,21:00,6:00,9:00,6:00,6.500,8.000,9.000,15-20 นาที,10-15 นาที,4,1,1,3,2,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บุษกร,22:30,5:30,22:00,8:00,22:00,7:00,8:30,6:00,7.000,10.000,9.000,20-30 นาที,15-20 นาที,2,1,0,3,4,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน
1,นิลปัทม์,22:30,5:00,21:30,7:00,22:30,6:00,9:00,5:30,6.500,9.500,7.500,15-20 นาที,15-20 นาที,3,2,1,3,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น
1,บัวชมพู,23:00,5:50,1:00,10:00,2:00,8:00,8:30,6:30,6.833,9.000,6.000,10-15 นาที,10-15 นาที,1,3,1,3,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน
1,โกเมน,23:00,5:45,23:00,7:00,23:30,7:00,9:00,6:15,6.750,8.000,7.500,20-30 นาที,15-20 นาที,3,3,1,3,1,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,โกเมน,23:00,5:45,23:30,7:30,23:00,7:00,9:00,6:30,6.750,8.000,8.000,20-30 นาที,25-30 นาที,4,2,2,4,3,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,โกเมน,22:00,5:30,21:00,5:30,21:00,5:30,8:00,4:30,7.500,8.500,8.500,15-20 นาที,15-20 นาที,2,1,0,3,2,เพื่อน,เวลาตื่น,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บุษกร,23:30,5:30,22:00,6:30,23:30,8:00,8:30,6:00,6.000,8.500,8.500,30-40 นาที,30-40 นาที,2,3,2,2,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น
1,บุษกร,22:30,5:30,22:30,9:30,23:00,9:30,8:30,6:00,7.000,11.000,10.500,30-40 นาที,25-30 นาที,2,2,1,3,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
